,0,100recon _recon 10recon _recon 1000,100recon _recon 20recon _recon 1000,200recon _recon 10recon _recon 1000,200recon _recon 20recon _recon 1000
11868,VIPAS39,0.67887664,0.7293109,0.70472056,3.9078686
11869,AHSA1,0.69568455,0.9282265,0.7843619,0.78108096
11870,ISM2,0.373172,0.38449538,0.37711823,0.43170226
11871,SPTLC2,0.6916537,0.7921045,0.74823904,0.7765149
11872,ALKBH1,0.65486395,0.69936115,0.6719911,0.85108197
11873,SLIRP,0.6767755,0.77571607,0.7032091,6.2129407
11874,SNW1,0.69211364,0.75147086,0.75505704,0.8226602
11875,C14orf178,0.19383739,0.7392755,0.19756263,0.43267363
11876,ADCK1,0.6552407,0.70212436,0.6741885,5.552362
11877,NRXN3,0.6414138,5.2174606,0.6555244,0.6831681
11878,DIO2,0.6465564,0.676914,0.6628463,5.320095
11879,CEP128,0.61418897,2.4931622,0.6266087,0.7654938
11880,TSHR,0.4543128,2.5916772,0.46239185,0.49291244
11881,GTF2A1,0.68658996,0.8917642,0.7300885,6.6226654
11882,STON2,0.64381325,0.9235341,0.65989006,0.7164638
11883,SEL1L,0.6971644,0.8046133,0.7552336,0.8581138
11884,FLRT2,0.67407244,0.71856135,0.69560564,0.7288148
11885,GALC,0.6841734,0.7337641,0.7134807,0.81130695
11886,GPR65,0.55587614,0.5841242,0.56692356,0.5908019
11887,KCNK10,0.4328911,2.400822,0.44022405,2.3991385
11888,SPATA7,0.6462534,0.68047005,0.66239095,0.8137187
11889,PTPN21,0.684726,0.7405229,0.72197694,0.7808264
11890,ZC3H14,0.68890625,0.8295977,0.7298278,0.76665497
11891,EML5,0.4957375,3.0233493,0.5042763,0.53252184
11892,TTC8,0.6658703,0.723575,0.6846503,0.71951264
11893,FOXN3,0.6961734,7.3390255,0.78454393,1.053926
11894,EFCAB11,0.60465455,0.63126034,0.6176412,4.492653
11895,TDP1,0.6508798,5.156501,0.6664517,0.6976017
11896,KCNK13,0.45428118,0.7527306,0.46099126,0.4723326
11897,PSMC1,0.67145264,6.02452,0.6937467,0.72991115
11898,NRDE2,0.6767082,0.73523843,0.7020818,0.99955356
11899,CALM1,0.68738365,0.85460585,0.8130775,0.9041909
11900,TTC7B,0.6832762,6.4893928,0.7151873,0.765628
11901,RPS6KA5,0.6675067,5.8948817,0.6887991,5.847938
11902,C14orf159,0.6928544,0.7850464,0.75096446,1.682137
11903,GPR68,0.61490035,4.671166,0.6289071,4.675276
11904,CCDC88C,0.669919,0.7172321,0.6913254,0.70705134
11905,CATSPERB,0.4788584,2.8444114,0.48509592,2.8452272
11906,TC2N,0.66960204,5.954805,0.7012618,0.7384281
11907,FBLN5,0.69668317,0.8510865,0.7758223,0.7736605
11908,TRIP11,0.6873572,0.7440649,0.7265146,6.6830425
11909,ATXN3,0.68595684,1.9032675,0.74439746,0.82511157
11910,NDUFB1,0.68565226,0.76611924,0.7242799,0.75225484
11911,CPSF2,0.6889814,0.738845,0.7344499,0.7824509
11912,SLC24A4,0.5986014,4.3904824,0.6107548,0.6224165
11913,RIN3,0.68356246,0.74118775,0.72803557,0.77898383
11914,LGMN,0.6941287,0.77671933,0.7454767,1.0560176
11915,GOLGA5,0.68822026,0.7487839,0.72589403,6.733976
11916,CHGA,0.5450991,3.6104987,0.5558943,0.63484097
11917,ITPK1,0.6969939,0.78184205,0.7844434,7.5832834
11918,MOAP1,0.6898606,0.7853536,0.73277706,0.76475495
11919,TMEM251,0.6534846,0.6961535,0.66998214,5.502749
11920,UBR7,0.6860438,6.618072,0.7243177,0.75564957
11921,BTBD7,0.6862102,0.7436106,0.73523355,6.628038
11922,UNC79,0.5595515,3.80359,0.56965333,3.8016577
11923,COX8C,0.27050105,1.1820599,0.30554718,1.1805158
11924,PRIMA1,0.64585865,0.6706458,0.6628092,0.770456
11925,FAM181A,0.3664467,1.8389155,0.36936444,0.5892523
11926,ASB2,0.6380111,0.6958193,0.6552953,0.71480614
11927,OTUB2,0.52457076,0.54926354,0.5341626,1.2376113
11928,DDX24,0.6977337,0.8247813,0.849808,0.856193
11929,IFI27L1,0.63440156,5.0532827,0.649296,0.87932986
