,x,0
3130,UQCRC1,3.1876476
2374,FAM168B,3.1899943
4247,C4orf3,3.1900709
6059,TCP1,3.1910467
13450,DYNLL2,3.1920185
14252,KANK2,3.1927216
16426,MAGED2,3.1929004
7651,KLF9,3.1929207
11060,NFKBIA,3.1939855
7469,SMARCA2,3.19435
4845,VDAC1,3.1949604
11177,SYNE2,3.1950188
272,SRRM1,3.1954615
6110,INTS1,3.1956196
2036,UGP2,3.1957524
6489,PDK4,3.19612
7798,RAD23B,3.1962767
5524,TAPBP,3.1971946
1166,CCT3,3.1981685
8159,OPTN,3.198772
430,THRAP3,3.1994188
15391,CHMP4B,3.1995008
9089,TNKS1BP1,3.2004528
16039,EIF3L,3.2007568
8793,PNPLA2,3.2007704
11406,CDC42BPB,3.202678
12316,MVP,3.2031882
2882,SETD5,3.2042267
233,HSPG2,3.2043302
10350,BTG1,3.2044642
2044,RAB1A,3.2048023
7916,FAM129B,3.205071
8468,ACTA2,3.205456
13019,USP22,3.205592
13381,CALCOCO2,3.2066343
5543,C6orf106,3.2073083
12981,TOM1L2,3.2081084
1279,RGS5,3.2088075
14318,NFIX,3.2097194
169,SPEN,3.2108629
11898,AKAP13,3.211553
6965,SORBS3,3.212072
13638,SRSF2,3.212271
2969,TOP2B,3.2130535
11425,INF2,3.214058
8025,RXRA,3.214098
3709,DVL3,3.2144578
7924,ENG,3.2147822
2545,SSFA2,3.2160962
10039,KMT2D,3.2166636
4816,HINT1,3.2169688
14193,RAB11B,3.2170691
13658,LGALS3BP,3.2178311
5572,CDKN1A,3.2182107
12713,ANKRD11,3.2199585
7730,FAM120A,3.2206714
7053,FGFR1,3.2215552
165,PLEKHM2,3.2216017
351,SRSF4,3.2237308
6560,GIGYF1,3.2242694
5794,PNRC1,3.2254102
6877,ESYT2,3.2254384
3475,MGLL,3.2255561
12296,TUFM,3.2256453
13698,ARHGDIA,3.2256694
12155,USP7,3.2258394
15276,PRNP,3.2258403
2920,RAF1,3.2263496
8621,SH3PXD2A,3.226977
3481,RPN1,3.2278543
10198,STAT2,3.2282884
9657,MCAM,3.2284408
8871,ILK,3.2284784
1034,POGZ,3.228785
4909,ANKHD1,3.229027
13686,NPLOC4,3.229159
16700,FAM127A,3.230707
16329,USP9X,3.2309327
16751,BGN,3.2315836
7660,ANXA1,3.2316813
10485,PTPN11,3.2317145
12726,TCF25,3.231993
9634,ARCN1,3.2321372
2035,MDH1,3.2322962
1170,MEF2D,3.232378
8267,C10orf10,3.2330532
7980,ABL1,3.2337463
9058,ARHGAP1,3.2337842
16779,ATP6AP1,3.2339888
14442,UPF1,3.2341714
5319,C6orf62,3.2351055
276,RSRP1,3.2351856
16049,CSNK1E,3.2357626
937,NOTCH2,3.2362263
10232,DCTN2,3.2362702
2728,DNAJB2,3.2362883
15647,TPD52L2,3.2374287
3154,GPX1,3.2378218
9408,RAB6A,3.2380235
6758,LUC7L2,3.238543
2901,BRK1,3.2386575
13245,KAT2A,3.2390943
5046,TNIP1,3.2400913
6935,PCM1,3.240282
1033,PSMB4,3.2411485
14950,AP2A1,3.2413213
9150,CPSF7,3.2413323
1164,SMG5,3.2414873
9234,PRDX5,3.242141
14385,MYO9B,3.2429802
11480,KLF13,3.2431555
15982,YWHAH,3.2434685
5388,GABBR1,3.2437294
10434,ISCU,3.243844
5961,BCLAF1,3.2446585
14908,PPP1R15A,3.2459676
13596,GRB2,3.2460136
14644,EIF3K,3.2460344
6063,IGF2R,3.246272
16800,F8A3,3.246422
15271,MAVS,3.2471912
14223,EIF3G,3.2474034
16414,KDM5C,3.2474694
11567,ZNF106,3.247728
570,EFCAB14,3.2479813
4884,EGR1,3.2481833
13635,MXRA7,3.2483006
15816,ATP6V1E1,3.248312
7759,ANP32B,3.2484858
13251,STAT5B,3.2486727
7127,ASPH,3.2490366
8258,HNRNPF,3.2492287
788,CNN3,3.2493231
8060,RABL6,3.2496393
1392,DHX9,3.2498817
49,SKI,3.2499201
15461,PLCG1,3.250414
15392,RALY,3.2519648
14650,ECH1,3.252567
2320,ACTR3,3.2527208
3661,SEC62,3.2536988
116,KIF1B,3.253885
2700,CTDSP1,3.2539594
9638,CXCR5,3.254019
3121,PLXNB1,3.2549276
10550,ANAPC5,3.2551346
10181,RPS26,3.2552269
5576,C6orf89,3.2558298
16,SDF4,3.2559257
10265,GNS,3.2559772
9781,TNFRSF1A,3.2561877
12577,AARS,3.256202
1409,IVNS1ABP,3.25701
6567,SRRT,3.2577686
11269,NEK9,3.258232
14344,DNAJB1,3.2582633
6687,SND1,3.2584548
3146,QARS,3.2596169
303,HMGN2,3.2602997
14356,BRD4,3.2609606
8604,TRIM8,3.261102
6201,TOMM7,3.261186
464,PABPC4,3.2614508
11935,FURIN,3.2616873
1253,NDUFS2,3.2619956
4440,SDHA,3.2623363
2392,UBXN4,3.2628624
10617,ULK1,3.2632682
13507,PSMC5,3.2634776
4871,HNRNPA0,3.2643504
5782,SYNCRIP,3.2652593
14091,MAP2K2,3.2653153
15415,ERGIC3,3.2657535
6303,DBNL,3.2662861
15448,TGM2,3.2664583
15827,DGCR2,3.2667136
14799,CLPTM1,3.2668417
5458,CLIC1,3.2671666
8048,SEC16A,3.2673087
2026,XPO1,3.2682233
